,Track URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genres
953,spotify:track:6JWWuoeyToc9bBZkgWtQ9L,0.409,0.0178,4,-31.864,1,0.0458,0.994,0.88,0.078,0.161,117.639,208664,4,Classical
955,spotify:track:0qoMHjrFq0g4QdMqxYhG9t,0.417,0.167,5,-20.207,1,0.0502,0.996,0.957,0.0971,0.429,71.525,187949,4,Classical
958,spotify:track:5xqYtaFkLcLRe6IWLGoTuL,0.411,0.0189,2,-27.992,0,0.0345,0.976,0.917,0.0986,0.173,108.625,246027,3,Classical
961,spotify:track:5An9TSZ5KmfsCLwBxq1VRA,0.455,0.0447,7,-27.079,1,0.0529,0.99,0.946,0.109,0.229,125.084,227750,5,Classical
962,spotify:track:38bPQvz2gp0uTG1bI6rVlT,0.449,0.0458,4,-28.797,1,0.0411,0.995,0.909,0.0762,0.215,111.617,188233,4,Classical
964,spotify:track:685KqTbzJzUKcStO5m1VD8,0.447,0.0222,4,-30.609,1,0.0573,0.996,0.952,0.0839,0.33,63.894,181656,4,Classical
965,spotify:track:0KUi4dptCJzeEHPr38B7j9,0.423,0.0379,6,-26.551,1,0.066,0.994,0.931,0.0935,0.0695,121.328,142000,4,Classical
966,spotify:track:0MXyCz754IFkMZq1I4BVaO,0.425,0.00825,0,-26.711,1,0.0817,0.995,0.96,0.113,0.103,64.142,182625,4,Classical
967,spotify:track:4qAeCVBiLVpG56P4KOL5sE,0.436,0.129,0,-17.985,0,0.0582,0.977,0.943,0.102,0.0964,137.126,173667,4,Classical
968,spotify:track:7HpOhVbSYn8BNAEiSdvTFv,0.48,0.0824,0,-29.646,0,0.0408,0.978,0.936,0.108,0.304,111.482,154857,4,Classical
969,spotify:track:0y1QJXvmb5iRXd11JJf9Hi,0.451,0.048,6,-21.287,1,0.0504,0.991,0.951,0.107,0.341,91.345,252875,4,Classical
974,spotify:track:1W0g9sj9trSjMUO49PAKWJ,0.433,0.0628,5,-25.318,0,0.0469,0.978,0.932,0.11,0.114,73.013,221000,4,Classical
975,spotify:track:61iDbuI3Skfhn7vIRtLjZE,0.463,0.0151,3,-28.252,1,0.0463,0.994,0.937,0.12,0.266,100.545,190479,4,Classical
980,spotify:track:6wXcmmbuKgyCz5nnU7T4lI,0.428,0.0212,8,-28.38,1,0.0469,0.986,0.941,0.119,0.171,75.54,237500,4,Classical
981,spotify:track:4JGD5NiVmKVGBjVysCvKIw,0.432,0.0429,5,-22.662,1,0.039,0.985,0.876,0.0998,0.252,100.139,179602,4,Classical
984,spotify:track:7ePt0ghR9CVmCmcuAdkTX8,0.456,0.0287,11,-27.516,1,0.041,0.994,0.958,0.121,0.105,104.185,143506,4,Classical
987,spotify:track:043ZNvHtGmYF1uR5q6gD1r,0.48,0.126,10,-18.512,0,0.0281,0.966,0.619,0.1,0.0503,74.026,180227,3,Classical
990,spotify:track:5pT81cp8OK5FuACexrkgC1,0.481,0.0379,6,-21.007,1,0.0695,0.995,0.94,0.0942,0.287,76.169,218307,4,Classical
992,spotify:track:7gb7bAdUDArVuoyNh2F90F,0.472,0.0221,5,-25.876,1,0.0405,0.99,0.955,0.0955,0.504,133.728,157875,4,Classical
1001,spotify:track:31Eo4x87vMeuwWisGXWjIi,0.437,0.042,0,-27.623,1,0.038,0.988,0.916,0.0822,0.275,119.172,165125,5,Classical
1005,spotify:track:6bQ5Bvcmykkj5ONuk6FWyt,0.421,0.108,11,-23.073,0,0.0979,0.995,0.956,0.103,0.167,76.224,198545,4,Classical
1009,spotify:track:2ZyU8CQHDDiI8MPfJh9k6R,0.44,0.157,7,-18.887,1,0.0417,0.953,0.936,0.107,0.449,104.824,152116,4,Classical
1010,spotify:track:6ff2TinoXWHCn0JnfUAp2b,0.406,0.0333,10,-25.767,1,0.0552,0.995,0.946,0.161,0.362,66.066,184138,4,Classical
1012,spotify:track:77fsaToe6geS16GLiwBzlm,0.49,0.162,2,-14.205,1,0.0308,0.798,0.113,0.0786,0.293,139.858,203727,4,Classical
1013,spotify:track:5peB51NBGxDU6whmNsK6yV,0.44,0.127,8,-18.466,1,0.0494,0.99,0.921,0.133,0.111,123.0,294100,4,Classical
1015,spotify:track:0KiUE3zdD3M8IRLcNDbjfv,0.467,0.00556,1,-27.983,1,0.0502,0.991,0.94,0.0886,0.206,136.406,210245,1,Classical
1019,spotify:track:2sO7nF36wGywzAlM8mNsjM,0.412,0.0374,4,-25.845,0,0.0375,0.994,0.826,0.109,0.209,94.822,162802,1,Classical
1028,spotify:track:3ZfBUAzlJwJzctLtxykX5b,0.452,0.0128,10,-29.516,0,0.0497,0.992,0.958,0.0959,0.101,102.244,281053,4,Classical
